Year,C02039V02469,Area_under_Crops_Hectares,Crop_Yield_per_Hectare_in_Tonnes,crop_production_in_Tonnes,crop__Fodder beet,crop__Kale and field cabbage,crop__Oilseed rape,crop__Potatoes,crop__Spring barley,crop__Spring oats,crop__Spring wheat,crop__Sugar beet,crop__Total barley,crop__Total oats,crop__Total wheat,"crop__Total wheat, oats and barley",crop__Turnips,crop__Winter barley,crop__Winter oats,crop__Winter wheat
1986,62,6.4,51.1,325.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,7,3.5,43.1,150.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1,334.3,6.0,2005.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1987,11,56.1,6.9,387.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1987,111,38.3,7.3,278.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1987,112,17.8,6.2,110.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1987,12,22.9,5.8,133.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1987,121,9.0,7.0,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1987,122,13.9,5.0,70.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1987,13,255.3,5.8,1485.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1987,131,33.6,6.3,211.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1987,132,221.7,5.7,1274.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1987,2,2.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,3,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,4,29.2,23.0,671.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1987,5,8.9,56.8,505.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1987,61,37.1,43.7,1623.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1987,62,6.4,64.8,414.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,7,2.9,52.1,153.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,1,323.6,6.4,2077.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1988,11,58.6,7.8,455.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1988,111,37.2,8.2,305.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1988,112,21.4,7.0,150.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1988,12,22.6,6.5,147.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1988,121,9.6,7.7,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1988,122,13.0,5.6,73.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1988,13,242.5,6.1,1475.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1988,131,28.0,6.4,179.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1988,132,214.5,6.0,1297.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1988,2,2.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,3,4.7,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,4,27.1,24.8,671.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1988,5,8.1,51.9,422.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1988,61,33.3,40.1,1334.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1988,62,6.9,63.4,438.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,7,2.5,39.0,98.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,1,319.6,6.0,1918.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1989,11,60.7,7.6,459.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1989,111,43.0,8.1,350.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
